blueprint,file,func:line,methods,kind,status,models,enforced_by
admin,admin/routes.py,api_user_projects_tree:1443,GET,READ,MISSING,SysDept,
admin,admin/routes.py,attachments:1116,GET,READ,MISSING,Attachment,
admin,admin/routes.py,create_announcement:1185,"GET,POST",READ,MISSING,SysDept,
admin,admin/routes.py,create_user:169,"GET,POST",READ,MISSING,SysDept;User,
admin,admin/routes.py,delete_attachment:1140,POST,WRITE,MISSING,Attachment,
admin,admin/routes.py,edit_announcement:1250,"GET,POST",READ,MISSING,SysDept,
admin,admin/routes.py,edit_user:266,"GET,POST",READ,MISSING,SysDept;SysUserProject;User,
admin,admin/routes.py,import_users:459,"GET,POST",READ,MISSING,SysDept;User,
admin,admin/routes.py,online_users:1316,GET,READ,MISSING,SysDept;User,
admin,admin/routes.py,reset_password:353,"GET,POST",READ,MISSING,User,
admin,admin/routes.py,toggle_user_status:397,POST,WRITE,MISSING,User,
admin,admin/routes.py,user_projects:128,"GET,POST",READ,MISSING,SysUserProject;User,
admin,admin/routes.py,users:115,GET,READ,MISSING,SysDept;User,
approval,approval/routes.py,branches:359,GET,READ,MISSING,User,
approval,approval/routes.py,detail:699,GET,READ,MISSING,ApprovalInstance,
approval,approval/routes.py,my_approvals:663,GET,READ,MISSING,ApprovalInstance,
approval,approval/routes.py,nodes:194,GET,READ,MISSING,User,
batch,batch/routes.py,toggle_category_batch:101,POST,WRITE,MISSING,Category,
category,category/routes.py,api_children:106,GET,READ,MISSING,Category,
category,category/routes.py,api_tree:79,GET,READ,MISSING,Category,
category,category/routes.py,index:30,GET,READ,MISSING,Category,
concrete,concrete/routes.py,api_contract_progress:93,GET,READ,MISSING,ConcreteTicket;Contract,
concrete,concrete/routes.py,delete:399,POST,WRITE,MISSING,ConcreteTicket,
concrete,concrete/routes.py,edit:344,"GET,POST",READ,MISSING,ConcreteTicket;Supplier;WorkNumber,
concrete,concrete/routes.py,transfer:477,POST,WRITE,MISSING,ConcreteTicket;Inventory;Material,
contract,contract/routes.py,api_contract_items:653,GET,READ,MISSING,Material,
contract,contract/routes.py,batch_create_items:355,POST,WRITE,MISSING,Contract,
contract,contract/routes.py,contract_change:1442,"GET,POST",READ,MISSING,Contract,
contract,contract/routes.py,contract_changes:1482,GET,READ,MISSING,Contract,
contract,contract/routes.py,contract_instance_detail:934,GET,READ,MISSING,ContractInstance,
contract,contract/routes.py,contract_instance_download:963,GET,READ,MISSING,ContractInstance,
contract,contract/routes.py,contract_instance_submit:1015,POST,WRITE,MISSING,ContractInstance,
contract,contract/routes.py,contract_instance_sync:1421,POST,WRITE,MISSING,ContractInstance,
contract,contract/routes.py,contract_instances:904,GET,READ,MISSING,ContractInstance,
contract,contract/routes.py,contract_template_delete:1354,POST,WRITE,MISSING,ContractInstance,
contract,contract/routes.py,create_item:289,POST,WRITE,MISSING,Contract;Material,
contract,contract/routes.py,delete:253,POST,WRITE,MISSING,Contract,
contract,contract/routes.py,delete_invoice:508,POST,WRITE,MISSING,Invoice,
contract,contract/routes.py,delete_payment:623,POST,WRITE,MISSING,Payment,
contract,contract/routes.py,detail:225,GET,READ,MISSING,Contract,
contract,contract/routes.py,edit:189,"GET,POST",READ,MISSING,Contract,
contract,contract/routes.py,edit_invoice:479,"GET,POST",READ,MISSING,Contract;Invoice,
contract,contract/routes.py,edit_payment:595,"GET,POST",READ,MISSING,Contract;Payment;PaymentApplication,
contract,contract/routes.py,restore:275,POST,WRITE,MISSING,Contract,
equipment,equipment/routes.py,add_maintenance:568,POST,WRITE,MISSING,Equipment,
equipment,equipment/routes.py,change_status:348,POST,WRITE,MISSING,Equipment,
equipment,equipment/routes.py,create:163,"GET,POST",READ,MISSING,Supplier,
equipment,equipment/routes.py,delete:331,POST,WRITE,MISSING,Equipment,
equipment,equipment/routes.py,depreciation:604,GET,READ,MISSING,Equipment,
equipment,equipment/routes.py,detail:308,GET,READ,MISSING,Equipment,
equipment,equipment/routes.py,edit:226,"GET,POST",READ,MISSING,Equipment;Supplier,
equipment,equipment/routes.py,inspection_delete:770,POST,WRITE,MISSING,EquipmentInspection;EquipmentInspectionTask,
equipment,equipment/routes.py,inspection_detail:786,GET,READ,MISSING,EquipmentInspection;EquipmentInspectionTask,
equipment,equipment/routes.py,inspection_edit:742,"GET,POST",READ,MISSING,EquipmentInspection,
equipment,equipment/routes.py,inspection_generate:809,POST,WRITE,MISSING,Equipment;EquipmentInspection;EquipmentInspectionTask,
equipment,equipment/routes.py,inspection_list:683,GET,READ,MISSING,EquipmentInspection,
equipment,equipment/routes.py,inspection_record_detail:884,GET,READ,MISSING,EquipmentInspectionRecord,
equipment,equipment/routes.py,inspection_records:872,GET,READ,MISSING,EquipmentInspectionRecord,
equipment,equipment/routes.py,inspection_task_skip:901,POST,WRITE,MISSING,EquipmentInspectionTask,
equipment,equipment/routes.py,inspection_tasks:856,GET,READ,MISSING,EquipmentInspectionTask,
equipment,equipment/routes.py,rent_settle:390,GET,READ,MISSING,Supplier,
equipment,equipment/routes.py,rent_settle_api_equipment:551,GET,READ,MISSING,Equipment,
equipment,equipment/routes.py,rent_settle_create:432,"GET,POST",READ,MISSING,Equipment,
equipment,equipment/routes.py,rent_settle_edit:481,"GET,POST",READ,MISSING,Equipment,
master,master/routes.py,category_api_children:1381,GET,READ,MISSING,Category,
master,master/routes.py,category_api_tree:1354,GET,READ,MISSING,Category,
master,master/routes.py,category_batch_create:1240,POST,WRITE,MISSING,Category,
master,master/routes.py,category_batch_delete:1677,POST,WRITE,MISSING,Category;Material,
master,master/routes.py,category_create:1175,POST,WRITE,MISSING,Category,
